code,year_,freq,ITEM6008,ITEM7011,ITEM8406
8522,2014,A,FR0000120693,18308,1403211.7107
8522,2015,A,FR0000120693,18232,1538997.3673
8522,2016,A,FR0000120693,18237,1540439.7653
8522,2017,A,FR0000120693,18442,1502602.7546
8522,2018,A,FR0000120693,18914,1480490.6419
8522,2019,A,FR0000120693,19140,1538923.72
8522,2020,A,FR0000120693,18776,1589635.7052
8979,2010,A,DE0005810055,3490,42648366.762
8979,2011,A,DE0005810055,3588,60756382.386
8979,2012,A,DE0005810055,3704,10370302.376
8979,2013,A,DE0005810055,3811,9371319.8636
8979,2014,A,DE0005810055,4540,10025726.872
8979,2015,A,DE0005810055,5283,10152924.475
8979,2016,A,DE0005810055,5176,10794571.097
8979,2017,A,DE0005810055,5640,9845673.7589
8979,2018,A,DE0005810055,5964,11320338.699
8979,2019,A,DE0005810055,6775,8670022.1402
8979,2020,A,DE0005810055,,
9027,2010,A,DE0007100000,260100,512176.08612
9027,2011,A,DE0007100000,271370,535652.43026
9027,2012,A,DE0007100000,275087,584193.36428
9027,2013,A,DE0007100000,274616,606989.3961
9027,2014,A,DE0007100000,279972,662605.54627
9027,2015,A,DE0007100000,284015,753065.8592
9027,2016,A,DE0007100000,282488,846471.35454
9027,2017,A,DE0007100000,289321,873604.05916
9027,2018,A,DE0007100000,298683,929406.76235
9027,2019,A,DE0007100000,298655,993236.34294
9027,2020,A,DE0007100000,,
9272,2010,A,DE0005552004,418946,88133.07682
9272,2011,A,DE0005552004,423502,87968.88799
9272,2012,A,DE0005552004,473626,69388.08258
9272,2013,A,DE0005552004,480006,71147.02733
9272,2014,A,DE0005552004,488824,72064.79224
9272,2015,A,DE0005552004,497745,72050.94978
9272,2016,A,DE0005552004,508036,71063.86162
9272,2017,A,DE0005552004,519544,70061.43849
9272,2018,A,DE0005552004,547459,87564.54821
9272,2019,A,DE0005552004,546924,90769.46706
9272,2020,A,DE0005552004,,
9340,2010,A,DE0006231004,26654,175770.99122
9340,2011,A,DE0006231004,25720,218157.07621
9340,2012,A,DE0006231004,26658,209430.56493
9340,2013,A,DE0006231004,26725,208793.26473
9340,2014,A,DE0006231004,29807,203307.9478
9340,2015,A,DE0006231004,35424,229703.0262
9340,2016,A,DE0006231004,36299,233174.46762
9340,2017,A,DE0006231004,37479,249019.45089
9340,2018,A,DE0006231004,40098,255149.88279
9340,2019,A,DE0006231004,41418,309358.25004
9340,2020,A,DE0006231004,,
9416,2010,A,DE0008404005,151338,4025076.3192
9416,2011,A,DE0008404005,141938,4412327.9178
9416,2012,A,DE0008404005,144094,4719814.8431
9416,2013,A,DE0008404005,147627,4711665.2103
9416,2014,A,DE0008404005,147425,5353250.8055
9416,2015,A,DE0008404005,142459,5829333.3521
9416,2016,A,DE0008404005,140253,6163782.5929
9416,2017,A,DE0008404005,140553,6270944.0567
9416,2018,A,DE0008404005,142460,6157981.1877
9416,2019,A,DE0008404005,147268,6714771.7087
9416,2020,A,DE0008404005,,
9455,2010,A,DE0005557508,246777,497141.14362
9455,2011,A,DE0005557508,235132,502241.29425
9455,2012,A,DE0005557508,229686,449430.96227
9455,2013,A,DE0005557508,229704,492755.89454
9455,2014,A,DE0005557508,227811,545149.26847
9455,2015,A,DE0005557508,225243,615655.0925
9455,2016,A,DE0005557508,218341,656198.33197
9455,2017,A,DE0005557508,217349,631799.54819
9455,2018,A,DE0005557508,215675,660373.24678
9455,2019,A,DE0005557508,210533,797822.66913
